root	package	depth	via_parent	via_type	closure_scope	version	library_path	installed
base64enc	base64enc	0	NA	direct	full_with_optional	0.1-6	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cluster	cluster	0	NA	direct	full_with_optional	2.1.8.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cowplot	cowplot	0	NA	direct	full_with_optional	1.2.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
data.table	data.table	0	NA	direct	full_with_optional	1.18.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
DEoptim	DEoptim	0	NA	direct	full_with_optional	2.2-8	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
dplyr	dplyr	0	NA	direct	full_with_optional	1.2.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
ggalluvial	ggalluvial	0	NA	direct	full_with_optional	0.12.6	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
ggh4x	ggh4x	0	NA	direct	full_with_optional	0.3.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
ggnewscale	ggnewscale	0	NA	direct	full_with_optional	0.5.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
ggplot2	ggplot2	0	NA	direct	full_with_optional	4.0.3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
ggrepel	ggrepel	0	NA	direct	full_with_optional	0.9.8	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
graphics	graphics	0	NA	direct	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
grDevices	grDevices	0	NA	direct	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
grid	grid	0	NA	direct	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
gridExtra	gridExtra	0	NA	direct	full_with_optional	2.3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
magick	magick	0	NA	direct	full_with_optional	NA	NA	FALSE
Matrix	Matrix	0	NA	direct	full_with_optional	1.7-3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
openssl	openssl	0	NA	direct	full_with_optional	2.4.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
parallel	parallel	0	NA	direct	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
patchwork	patchwork	0	NA	direct	full_with_optional	1.3.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
Rcpp	Rcpp	0	NA	direct	full_with_optional	1.1.1-1.1	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
readxl	readxl	0	NA	direct	full_with_optional	1.4.5	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
rmarkdown	rmarkdown	0	NA	direct	full_with_optional	2.31	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
Rtsne	Rtsne	0	NA	direct	full_with_optional	0.17	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
scales	scales	0	NA	direct	full_with_optional	1.4.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
stats	stats	0	NA	direct	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
tidyr	tidyr	0	NA	direct	full_with_optional	1.3.2	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
tools	tools	0	NA	direct	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
utils	utils	0	NA	direct	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
uwot	uwot	0	NA	direct	full_with_optional	0.2.4	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
yaml	yaml	0	NA	direct	full_with_optional	2.3.12	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
base64enc	png	1	base64enc	Enhances	full_with_optional	0.1-9	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cluster	graphics	1	cluster	Imports	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	grDevices	1	cluster	Imports	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	stats	1	cluster	Imports	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	utils	1	cluster	Imports	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cluster	MASS	1	cluster	Suggests	full_with_optional	7.3-65	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cluster	Matrix	1	cluster	Suggests	full_with_optional	1.7-3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cluster	mvoutlier	1	cluster	Enhances	full_with_optional	NA	NA	FALSE
cluster	fpc	1	cluster	Enhances	full_with_optional	NA	NA	FALSE
cluster	ellipse	1	cluster	Enhances	full_with_optional	NA	NA	FALSE
cluster	sfsmisc	1	cluster	Enhances	full_with_optional	NA	NA	FALSE
cowplot	ggplot2	1	cowplot	Imports	full_with_optional	4.0.3	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cowplot	grid	1	cowplot	Imports	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cowplot	gtable	1	cowplot	Imports	full_with_optional	0.3.6	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cowplot	grDevices	1	cowplot	Imports	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cowplot	methods	1	cowplot	Imports	full_with_optional	4.4.2	/app/eb/software/R/4.4.2-gfbf-2024a/lib64/R/library	TRUE
cowplot	rlang	1	cowplot	Imports	full_with_optional	1.2.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
cowplot	scales	1	cowplot	Imports	full_with_optional	1.4.0	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4	TRUE
