TAS (uM)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (2N)	SUM-159 (4N)	SUM-159 (4N)	SUM-159 (4N)
0	4780000	4790000	4810000	1850000	1830000	1910000
0.027	4840000	4810000	4940000	1850000	1880000	1920000
0.053	4860000	4860000	4850000	1830000	1700000	1790000
0.106	4880000	4910000	4920000	1730000	1850000	1880000
0.212	4820000	4810000	4910000	1790000	2140000	2000000
0.425	4470000	4430000	4440000	1520000	1480000	1470000
0.85	2660000	2570000	2780000	532000	590000	543000
1.9	1830000	1820000	1790000	437000	424000	420000
3.75	1370000	1440000	1450000	581000	333000	342000
7.5	286000	314000	338000	153000	159000	122000
15	330000	284000	309000	87100	83400	111000
30	216000	185000	175000	79200	68900	78300
